Sigla,Nombre Candidato,logo
Patria Sol, Luis Antonio Revilla Herrero,alianza.png
FRI, Fidel Chura Chavez,fri.jpeg
NGP, Rene Yahuasi Calamani,ngp.png
PDC, Orlando Callisaya Copana,pdc.png
UCS, Rafael Arcángel Quispe Flores,ucs.jpeg
MTS, Felix Patzi Paco,mts.jpeg
Jallalla.LP, Leopoldo Richard Chui Torrez,jallalla.png
ASP, Augusto Saturnino Oblitas Garcia,asp.jpg
MPS, Clemente Gutierrez Mamani,mps.jpeg
VENCEREMOS, Richard Andres Gomez Vela,venceremos.jpeg
APB-Súmate, Flavio Merlo,sumate.jpeg
UPC, Santos Quispe Quispe,upc.jpeg
SPBC, Yosmar Espejo,spbc.jpeg
LIBRE, Kurt Reintsch,libre.jpeg
IH, German Antonio Riveros Pilco,ih.jpeg
VIDA, Avigail Molina Mariscal,vacio.png
ASLP, Ingvar Ellefsen Dotzauer,aslp.jpeg
U-PP, Demetrio Villca Ordoñez,upp.png
ADN, Gualberto Cusi Mamani,adn.png
