circunscripcion,NombreDeRecinto,mesa,NroHabilitados
6,Instituto Tecnologico Ayacucho,1,230
6,Instituto Tecnologico Ayacucho,2,228
6,Instituto Tecnologico Ayacucho,3,235
6,Instituto Tecnologico Ayacucho,4,222
6,Instituto Tecnologico Ayacucho,5,227
6,Instituto Tecnologico Ayacucho,6,231
6,Instituto Tecnologico Ayacucho,7,219
6,Instituto Tecnologico Ayacucho,8,225
6,Instituto Tecnologico Ayacucho,9,220
6,Instituto Tecnologico Ayacucho,10,234
6,Instituto Tecnologico Ayacucho,11,228
6,Instituto Tecnologico Ayacucho,12,226
6,Instituto Tecnologico Ayacucho,13,230
6,Instituto Tecnologico Ayacucho,14,223
6,Instituto Tecnologico Ayacucho,15,221
6,Instituto Tecnologico Ayacucho,16,218
6,Instituto Tecnologico Ayacucho,17,225
6,Instituto Tecnologico Ayacucho,18,229
6,Instituto Tecnologico Ayacucho,19,224
6,Instituto Tecnologico Ayacucho,20,227
6,Instituto Tecnologico Ayacucho,21,232
6,Instituto Tecnologico Ayacucho,22,220
6,Instituto Tecnologico Ayacucho,23,219
6,Instituto Tecnologico Ayacucho,24,226
6,Instituto Tecnologico Ayacucho,25,230
6,Instituto Tecnologico Ayacucho,26,224
6,Instituto Tecnologico Ayacucho,27,228
6,Instituto Tecnologico Ayacucho,28,231
6,Instituto Tecnologico Ayacucho,29,225
6,Instituto Tecnologico Ayacucho,30,222
6,Instituto Tecnologico Ayacucho,31,218
6,Instituto Tecnologico Ayacucho,32,226
6,Instituto Tecnologico Ayacucho,33,230
6,Instituto Tecnologico Ayacucho,34,227
6,Instituto Tecnologico Ayacucho,35,224
6,Instituto Tecnologico Ayacucho,36,221
